id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
38585,Charming Victorian twin BR for 2,165529,Evelyne,,28804,35.65146,-82.62792,Private room,45,1,121,2018-11-25,1.20,1,60
80905,French Industrial Chic Loft,427027,AshevilleStay,,28801,35.59701,-82.55237,Entire home/apt,765,1,92,2018-12-02,1.01,12,361
108061,"Walk downtown or UNCA, Pets OK!",320564,Lisa,,28801,35.6067,-82.55563,Entire home/apt,75,2,85,2018-12-25,0.94,2,9
155305,Cottage! BonPaul + Sharky's Hostel,746673,BonPaul,,28806,35.57972,-82.59617,Entire home/apt,107,1,195,2019-02-10,2.12,7,339
156805,"Private Room ""Ader"" at BPS Hostel",746673,BonPaul,,28806,35.57755,-82.59697,Private room,71,1,51,2019-01-11,0.56,7,349
156926,"Mixed Dorm ""Top Bunk #1"" at BPS Hostel",746673,BonPaul,,28806,35.57776,-82.595,Shared room,26,1,213,2019-02-05,2.34,7,351
160594,Historic Grove Park,769252,Elizabeth,,28801,35.61442,-82.54127,Private room,125,30,58,2015-10-19,0.63,1,365
189916,The Very Best Location Downtown,916386,Amy,,28801,35.59055,-82.55447,Private room,127,2,143,2015-08-16,1.58,1,47
209068,Terrace Cottage,1029919,Kevin,,28804,35.61856,-82.55276,Entire home/apt,134,30,53,2018-10-31,0.59,1,360
213006,Blue Gate Lodging,1098412,Susanne,,28806,35.58345,-82.59713,Private room,58,2,117,2018-12-30,1.43,1,363
246315,Asheville Dreamer's Cabin,1292070,Annie,,28805,35.59635,-82.50655,Private room,65,3,54,2018-10-27,0.61,1,77
259576,"Private, peaceful, and free goat therapy",1362726,Julia,,28805,35.61929,-82.48114,Entire home/apt,68,2,433,2019-01-27,4.94,2,239
273534,Lovely Apt. Near Downtown and Blue Ridge Parkway!,1178227,Karen,,28803,35.55294,-82.48995,Entire home/apt,60,2,220,2019-02-03,5.32,4,285
284690,PET FRIENDLY APT CLOSE TO DOWNTOWN,1482216,Marilyn,,28806,35.60441,-82.59997,Entire home/apt,100,2,36,2018-12-30,0.44,4,365
291937,primo apt in downtown Asheville!,397780,Susan,,28801,35.59087,-82.55143,Entire home/apt,250,2,167,2019-02-16,2.06,2,353
295496,The Fern Street Apt near Biltmore,1501882,Debbie,,28803,35.55537,-82.53539,Entire home/apt,50,14,30,2018-03-01,0.35,1,289
304379,REFOCUS COTTAGE- available January 19th,1566145,Gayle,,28804,35.64453,-82.52586,Entire home/apt,129,30,23,2018-09-15,0.27,2,365
326772,"Blue Ridge Parkway, close to Downtown!",1178227,Karen,,28803,35.55326,-82.49139,Entire home/apt,100,2,116,2019-02-03,3.12,4,235
353092,ATHENA'S LOFT:  Find yourself here!,1788071,Beth,,28806,35.58217,-82.59997,Entire home/apt,76,1,441,2019-02-03,6.61,1,349
427497,Luxurious Mountain Guest Suite Apartment,1909922,Milan,,28803,35.49111,-82.48438,Entire home/apt,125,2,34,2018-07-07,0.44,1,332
433646,Historic Arts and Craft Home,1931430,Ana,,28801,35.57771,-82.56094,Private room,115,2,89,2018-11-11,1.08,2,365
436476,Garden View Apt- Walk Downtown,478398,Heidi,,28801,35.60182,-82.56174,Entire home/apt,119,2,274,2019-02-10,3.36,1,18
483384,Mermaid Cottage West Asheville : walk to eateries,467421,Camille,,28803,35.56118,-82.57784,Entire home/apt,115,1,334,2019-02-16,6.25,1,257
495111,Walk Downtown private bath peaceful,12874214,David,,28801,35.60313,-82.55552,Private room,95,1,265,2019-01-04,3.27,3,334
498089,Urban Getaway - Perfect Location,2164379,Anne Marie,,28801,35.61115,-82.54376,Entire home/apt,47,30,129,2016-11-27,1.59,1,177
528535,Dwntwn Studio w/ lots of character,2596933,B,,28801,35.60075,-82.5539,Entire home/apt,99,2,311,2019-01-02,3.84,2,86
